mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,filename,spectral_centroids,zero_crossings,subject_id,age,gender,native_language
-381.4971619,133.3839722,8.936514854,43.2918663,9.203363419,-9.810970306,8.070102692,-7.704693317,1.202547669,8.351262093,-8.730251312,1.030190349,-4.707575798,0.310011834,-5.528476715,-4.686419487,-2.60503006,0.072579697,-3.324434757,2.91811347,2030_hindi_nonscripted_0.wav,1137.958345,0.047243403,2030,36,cis woman,hindi
-389.2052002,132.6374969,18.34391212,40.46430206,7.186022758,-9.068858147,6.408228874,-3.526724577,3.662391424,7.293411732,-7.643298149,-0.06819921,-10.5904026,-1.276408911,-3.828514576,-4.261530876,-2.305754423,0.92808044,-1.317906141,5.134964466,2030_hindi_nonscripted_1.wav,1017.479563,0.039952885,2030,36,cis woman,hindi
-417.5674744,143.8406677,26.1290493,35.61180115,5.254219532,-9.319527626,3.98179841,-1.349844217,0.813892245,7.214792728,-5.886543274,4.818789482,-2.56393981,2.610969782,-3.240839243,-2.745074987,-2.045472145,0.397183627,-1.288994431,1.565703273,2030_hindi_scripted_2.wav,989.1729893,0.041658557,2030,36,cis woman,hindi
-420.4782104,141.0013885,35.80259705,38.14125061,7.964176655,-5.726050377,4.581314564,-5.003653049,0.956747949,4.686779976,-7.367354393,-1.44961977,-5.363449097,-0.202677011,-4.486415386,-2.325547695,-2.955472708,0.545570195,-2.318099499,1.49551332,2030_hindi_scripted_3.wav,895.6212482,0.034613732,2030,36,cis woman,hindi
-415.8258972,138.6838226,1.760653138,40.58813095,0.685629904,8.750571251,-2.548721075,-10.4135294,5.957355976,-1.384616852,-2.520219803,4.433179379,-2.291130066,9.339087486,-8.98261261,-0.646258295,-0.248279542,-4.708315372,-5.285072803,-1.205575585,2031_hindi_nonscripted_0.wav,1248.800785,0.04947407,2031,22,cis woman,hindi
-428.4335938,145.4494019,8.369369507,36.59477615,7.026215076,12.6721077,-3.727873325,-14.27519512,1.533125281,-3.255470276,-1.254232168,0.275071383,-4.470011711,8.369433403,-7.465193748,-0.662611306,2.435624599,-2.643605471,-4.435853004,-1.304544806,2031_hindi_nonscripted_1.wav,1102.063862,0.041934626,2031,22,cis woman,hindi
-401.3447876,141.8274994,-4.424637794,47.77228165,8.476978302,0.289916009,-7.532105923,-9.772497177,4.320637703,-0.227501407,-2.65711689,6.182049751,-6.084570885,7.364068031,-5.133550167,-2.789597034,-1.075652361,-2.858242035,-3.071005821,0.32077685,2031_hindi_scripted_2.wav,1246.698639,0.049796003,2031,22,cis woman,hindi
-381.7354431,137.9486847,1.587929964,44.97057724,11.97786808,1.888947725,-6.397334099,-16.09233475,3.002011776,0.368236005,-3.748954296,0.518079996,-8.926737785,7.748802662,-5.191222191,-3.26143384,3.243062258,-1.381776214,-4.249638081,0.774341702,2031_hindi_scripted_3.wav,1176.336307,0.045534384,2031,22,cis woman,hindi
-414.3858337,183.9426422,2.858313084,26.85124779,16.8318119,2.13036561,2.405697823,3.575814962,-12.48213577,4.376667976,-8.147500038,-1.99895525,9.964420319,-7.693380833,3.642864227,6.595607758,-3.230525494,-2.797407627,0.374679148,0.766810954,2032_hindi_nonscripted_0.wav,786.1932623,0.036157893,2032,23,cis man,hindi
-419.1448364,187.4176025,4.557179451,26.45552635,15.4932394,3.889648438,-0.615384161,2.764588356,-11.32893276,3.91202426,-7.668461323,-1.520809412,8.852163315,-6.445245266,1.92892909,4.532037258,-0.463251442,-0.679463506,-1.3599298,0.878842235,2032_hindi_nonscripted_1.wav,798.6164037,0.035719379,2032,23,cis man,hindi
-404.3750305,173.4466248,13.88635159,24.52975655,15.55452824,10.51240444,-1.701838255,-0.113248982,-8.382293701,-1.391041994,-8.736428261,-1.425140738,10.32290173,-2.65921402,0.240484357,2.737001419,-1.481912732,-0.530436575,-0.1545735,-1.728477478,2032_hindi_scripted_2.wav,820.7786975,0.035593978,2032,23,cis man,hindi
-415.1104736,179.714798,4.754406929,31.98616791,13.25693893,18.18501091,-11.51402187,5.163773537,-9.659456253,-2.447311401,-7.089374542,-3.224374533,4.782736778,-0.987500191,-4.156691074,3.977310658,-0.381680012,-5.295295715,-0.337486655,0.894068241,2032_hindi_scripted_3.wav,906.8168679,0.038060536,2032,23,cis man,hindi
-343.7254639,139.8939972,35.45976257,36.13034439,9.95693779,-0.688898742,-6.90942955,-20.16582489,-15.92988682,-1.879755974,-10.41468525,7.325481415,-11.62601376,-10.26608753,-4.002754688,-8.475194931,-11.79376316,-4.447443485,-8.189648628,-5.547623634,2033_hindi_nonscripted_0.wav,1128.851476,0.038714101,2033,21,cis man,hindi
-336.1083984,139.6956177,36.90042114,37.89968109,11.99485683,-3.232278347,-14.5688591,-15.08874702,-16.33424377,-1.638128996,-11.53538418,8.244916916,-12.25414276,-9.120428085,-5.35063839,-9.446332932,-11.8723259,-4.493285179,-8.587151527,-2.275833368,2033_hindi_nonscripted_1.wav,1156.099246,0.038321581,2033,21,cis man,hindi
-351.3788757,139.9620209,36.39549637,39.23384476,19.46783829,-3.363387585,-12.53892899,-16.39256477,-19.25065613,-2.690490484,-12.72941494,2.062916756,-16.01668739,-11.18722343,-2.925457954,-3.813824177,-10.70278645,-1.565337062,-4.630709171,-3.909619808,2033_hindi_scripted_2.wav,1102.561297,0.038356474,2033,21,cis man,hindi
-352.2205505,136.4081573,40.76253891,39.35344315,18.75972366,-1.221205592,-13.83828068,-13.49524689,-14.72836494,-0.662318826,-12.96115875,3.799759626,-15.24811459,-11.12055874,-1.283884287,-2.492946863,-9.840740204,-0.95789206,-5.670438766,-3.494876385,2033_hindi_scripted_3.wav,1161.97719,0.038497892,2033,21,cis man,hindi
-419.0173035,170.6334229,7.137960434,31.44072151,20.59996414,-2.661006451,1.030714273,-8.688257217,-3.588068485,2.211366177,3.676642656,-3.509693623,-3.058483124,4.067456245,0.214720398,2.787246943,-12.78868103,7.459606171,-2.943598747,-5.555187225,2034_hindi_nonscripted_0.wav,898.590993,0.037275435,2034,23,cis man,hindi
-423.7505188,165.5276489,15.5371685,35.07294083,21.62846184,-1.850809693,-2.02833128,-10.087533,-2.85695076,0.780911207,0.65014106,-2.095990419,-0.521983385,2.621825933,-3.961060286,1.908177733,-9.228054047,3.24649024,-3.13775444,-3.152391195,2034_hindi_nonscripted_1.wav,870.9466688,0.036419863,2034,23,cis man,hindi
-392.1348267,156.8614349,12.28504467,38.63815689,19.8925457,-6.844326019,-0.400487304,-8.789624214,-6.39905405,-1.384122729,2.275828838,-1.489858508,-2.211923122,-1.861329913,-5.345948696,8.235832214,-8.952502251,2.952903032,-2.972129822,-0.626840591,2034_hindi_scripted_2.wav,1002.017644,0.042732669,2034,23,cis man,hindi
-380.1551208,157.1846619,16.83558846,33.02640915,11.78492832,3.196147919,-8.338449478,-1.833902955,-10.50098991,-0.926399469,-6.963596344,-0.495615244,-3.367675304,1.088240027,-1.448068261,-4.985129356,-2.948204994,0.101583861,1.788869023,-6.678032875,2034_hindi_scripted_3.wav,1019.660834,0.043590979,2034,23,cis man,hindi
-313.2509766,142.0031433,18.15904427,19.14301491,11.03597355,-1.809541225,-10.41623592,-6.770900249,-8.23413372,-2.67066884,-11.67140675,9.847809792,-8.491657257,-4.077326775,5.73271656,-4.56910038,-4.438934326,-1.392707705,-2.107616663,-4.954650879,2035_hindi_nonscripted_0.wav,1223.008839,0.056153245,2035,22,cis man,hindi
-344.1094055,146.8191986,20.45259094,26.14535332,17.54923439,6.767553806,-13.92485905,-10.01354408,-5.331463337,4.600917339,-13.57442856,7.028504372,-3.994200706,-9.394612312,5.51202774,-10.24615002,-8.636181831,-1.145298123,-1.895642877,-5.511937618,2035_hindi_nonscripted_1.wav,1070.577722,0.044657841,2035,22,cis man,hindi
-332.6930237,139.9081726,15.6467514,23.68401527,12.5820961,5.073515415,-9.311486244,-5.573081493,-15.15376759,0.665418684,-12.82819748,8.260788918,-7.486501694,-2.164760351,7.05117321,-1.453201294,-10.25210094,2.180968285,-3.44330287,-5.281393528,2035_hindi_scripted_2.wav,1320.385659,0.057195992,2035,22,cis man,hindi
-338.2730103,139.2693787,24.09898376,19.95706749,12.45605373,14.62304211,-13.95350933,-3.716419935,-8.627325058,-2.30584693,-13.06280136,2.784339666,-7.378479481,-9.906808853,-0.6867733,-2.560362577,-4.495809078,2.006241798,-3.280131102,-4.922230244,2035_hindi_scripted_3.wav,1259.616166,0.052453575,2035,22,cis man,hindi
-432.1510315,149.3086853,7.120474339,27.97169685,-0.929903805,-7.101068497,-1.651873112,-7.626068592,1.615580201,-1.149638414,-1.249563694,9.651928902,-7.758846283,9.91699791,-1.067433715,-2.880877256,-2.481288671,-3.382635832,-6.522078037,1.65021348,2036_hindi_nonscripted_0.wav,1119.844142,0.048944028,2036,25,cis woman,english (india)
-448.1351624,141.0797272,19.65771103,24.1935463,3.870519161,-7.941220284,-2.949062347,-7.351168156,-0.452236027,2.322039604,0.50392884,5.027813435,-4.662082195,10.16235924,4.796949387,-0.773721039,0.110735111,1.309923053,-4.092169285,1.844685316,2036_hindi_nonscripted_1.wav,1112.222204,0.051998332,2036,25,cis woman,english (india)
